iter	Passed	Remaining
443	1237	1549
444	1240	1546
445	1243	1544
446	1246	1541
447	1249	1539
448	1252	1536
449	1255	1533
450	1258	1531
451	1260	1528
452	1263	1525
453	1266	1522
454	1269	1520
455	1272	1518
456	1275	1515
457	1278	1513
458	1281	1509
459	1283	1507
460	1286	1504
461	1289	1501
462	1291	1498
463	1294	1495
464	1297	1492
465	1300	1489
466	1302	1486
467	1305	1484
468	1308	1480
469	1310	1478
470	1313	1475
471	1316	1472
472	1318	1469
473	1321	1466
474	1324	1464
475	1327	1461
476	1330	1458
477	1332	1455
478	1335	1452
479	1338	1449
480	1340	1446
481	1343	1443
482	1346	1440
483	1348	1437
484	1351	1435
485	1354	1432
486	1356	1429
487	1359	1426
488	1362	1423
489	1364	1420
490	1367	1417
491	1370	1415
492	1373	1412
493	1376	1409
494	1379	1406
495	1381	1403
496	1384	1400
497	1387	1398
498	1389	1395
499	1392	1392
500	1395	1389
501	1398	1386
502	1400	1384
503	1403	1381
504	1406	1378
505	1408	1375
506	1411	1372
507	1414	1369
508	1416	1366
509	1419	1364
510	1422	1361
511	1425	1358
512	1427	1355
513	1430	1352
514	1433	1349
515	1435	1346
516	1438	1344
517	1441	1341
518	1443	1338
519	1446	1335
520	1449	1332
521	1452	1330
522	1455	1327
523	1457	1324
524	1460	1321
525	1462	1318
526	1465	1315
527	1468	1312
528	1471	1310
529	1474	1307
530	1477	1304
531	1479	1301
532	1482	1298
533	1485	1296
534	1488	1293
535	1490	1290
536	1493	1287
537	1496	1284
538	1499	1282
539	1501	1279
540	1504	1276
541	1506	1273
542	1509	1270
543	1512	1267
544	1515	1264
545	1517	1261
546	1520	1259
547	1523	1256
548	1525	1253
549	1528	1250
550	1531	1247
551	1533	1244
552	1536	1241
553	1539	1239
554	1542	1236
555	1544	1233
556	1547	1231
557	1550	1228
558	1553	1225
559	1555	1222
560	1558	1219
561	1561	1217
562	1564	1214
563	1567	1211
564	1570	1208
565	1573	1206
566	1575	1203
567	1578	1200
568	1582	1198
569	1585	1196
570	1588	1193
571	1591	1190
572	1594	1188
573	1596	1185
574	1599	1182
575	1603	1180
576	1605	1177
577	1608	1174
578	1611	1171
579	1614	1168
580	1616	1165
581	1619	1163
582	1622	1160
583	1625	1157
584	1628	1155
585	1630	1152
586	1633	1149
587	1636	1146
588	1638	1143
589	1642	1141
590	1645	1138
591	1648	1136
592	1651	1133
593	1655	1131
594	1658	1128
595	1661	1126
596	1664	1123
597	1667	1121
598	1670	1118
599	1673	1115
600	1675	1112
601	1678	1109
602	1681	1107
603	1684	1104
604	1686	1101
605	1689	1098
606	1692	1095
607	1695	1092
608	1697	1089
609	1700	1087
610	1703	1084
611	1706	1081
612	1708	1078
613	1711	1075
614	1714	1073
615	1717	1070
616	1720	1067
617	1723	1065
