iter	Logloss
0	0.6636726639
1	0.6360846542
2	0.6120889559
3	0.5873164321
4	0.5659771178
5	0.5477948346
6	0.5250275528
7	0.5033775647
8	0.484519814
9	0.4681864127
10	0.4551804803
11	0.4430876298
12	0.4291567514
13	0.4177191283
14	0.4091130869
15	0.3990770014
16	0.389995197
17	0.3824373182
18	0.3733830084
19	0.3651854935
20	0.3560397228
21	0.3466059387
22	0.3382171715
23	0.3331963585
24	0.3281569312
25	0.3231444714
26	0.3184056342
27	0.3142297853
28	0.3108922718
29	0.3078971683
30	0.303169145
31	0.3009109463
32	0.2973328422
33	0.2937365949
34	0.289299324
35	0.2857780909
36	0.2832779824
37	0.2802811896
38	0.2786318748
39	0.2755089704
40	0.2728032365
41	0.2707868399
42	0.2688695922
43	0.2675828628
44	0.2655559771
45	0.2639039206
46	0.2627521476
47	0.2609663744
48	0.2595256371
49	0.2580521062
50	0.2570916088
51	0.2562688843
52	0.2554918277
53	0.2546768687
54	0.2537737378
55	0.2532673907
56	0.2524691015
57	0.2518772133
58	0.2509898599
59	0.2503694971
60	0.2491116285
61	0.2479837295
62	0.2472379373
63	0.2467680658
64	0.2462134515
65	0.2454108218
66	0.244402259
67	0.243736266
68	0.2428094109
69	0.2425921447
70	0.2422706524
71	0.2418593304
72	0.2413790993
73	0.2403481972
74	0.2393040294
75	0.2384670944
76	0.2380985282
77	0.2373240637
78	0.2369875398
79	0.2367850935
80	0.2361509478
81	0.2357841654
82	0.2353993552
83	0.2349543671
84	0.2346448194
85	0.2344016788
86	0.2341185879
87	0.2338473913
88	0.2333154245
89	0.2330661924
90	0.2326478985
91	0.2321759274
92	0.2320052854
93	0.2318257519
94	0.2315211576
95	0.2313541463
96	0.2312183153
97	0.2309978008
98	0.2307205874
99	0.2305573607
100	0.2302621601
101	0.2300070348
102	0.2293697478
103	0.2291468088
104	0.2289239924
105	0.2284878006
106	0.2283128369
107	0.2278624657
108	0.2276476605
109	0.2274669116
110	0.2271105306
111	0.2269448294
112	0.2266059116
113	0.2263470358
114	0.2260929931
115	0.2258686317
116	0.2257536289
117	0.2256280817
118	0.2254748426
119	0.2252491491
120	0.2251555946
121	0.2249904968
122	0.2247816127
123	0.2243956382
124	0.2242731336
125	0.2240915628
126	0.2239027505
127	0.2236664757
128	0.2235660046
129	0.2234770804
130	0.2233426106
131	0.2232047193
132	0.2230097802
133	0.2228645422
134	0.2226719239
135	0.2224644214
136	0.2223756533
137	0.2222722719
138	0.222120527
139	0.2220030695
140	0.2218641751
141	0.2216893534
142	0.2215979025
143	0.2214792042
144	0.221410841
145	0.2209286628
146	0.2207897155
147	0.2206283233
148	0.2205056153
149	0.2202577802
150	0.2201254307
151	0.2200503454
152	0.2197172086
153	0.2196294141
154	0.2195533618
155	0.2193859062
156	0.2191911528
157	0.2190413443
158	0.2189520737
159	0.2186634274
160	0.2185725152
161	0.2184779959
162	0.2183720619
163	0.2182985992
164	0.2181734539
165	0.2179868269
166	0.2177168285
167	0.2175644825
168	0.2174047608
169	0.2169842663
170	0.2169086172
171	0.2167982011
172	0.2166998959
173	0.2166276055
174	0.216537031
175	0.216397458
176	0.216229858
177	0.2160764824
178	0.2160269439
179	0.2159940677
180	0.2158439568
181	0.2157630134
182	0.2157101918
183	0.2155447725
184	0.2154106687
185	0.2152526986
186	0.2151560795
187	0.2151252551
188	0.2149999186
189	0.2148624796
190	0.2147717951
191	0.2145610669
192	0.2144240051
193	0.2142728874
194	0.2141853294
195	0.2140899612
196	0.2139498711
197	0.2138845137
198	0.2137885
199	0.2136370687
200	0.2135783313
201	0.2135073943
202	0.2134368218
203	0.2133669813
204	0.2132502788
205	0.2130918292
206	0.2128774791
207	0.2127886944
208	0.2126720669
209	0.2126152249
210	0.212527408
211	0.212436978
212	0.2123156114
213	0.2121616373
214	0.2120523788
215	0.2119465151
216	0.2118683842
217	0.2117907201
218	0.2117129657
219	0.211617413
220	0.2115249638
221	0.2114177263
222	0.2112955577
223	0.211117445
224	0.2110402889
225	0.2109794952
226	0.2107566494
227	0.2106192349
228	0.2104971597
229	0.2104261921
230	0.2103319062
231	0.2102238601
232	0.2101223021
233	0.2100074058
234	0.2099164911
235	0.2098723636
236	0.2097599382
237	0.2097021031
238	0.2096120095
239	0.2095140732
240	0.2094130564
241	0.2093384732
242	0.2092966404
243	0.2091935586
244	0.209151624
245	0.2090270924
246	0.2089250455
247	0.2087970053
248	0.2087358459
249	0.2086511454
250	0.2085703352
251	0.2085119691
252	0.2083374211
253	0.2082961693
254	0.2081524477
255	0.2080555813
256	0.207956779
257	0.2079120435
258	0.2078694858
259	0.2078250733
260	0.2077299877
261	0.2075891323
262	0.2074314566
263	0.2074064154
264	0.2073489048
265	0.2072840154
266	0.2071120747
267	0.2070642141
268	0.2068811189
269	0.2068389586
270	0.2067608631
271	0.2065948712
272	0.206508699
273	0.2063810164
274	0.2062904464
275	0.2061544819
276	0.2059410903
277	0.2058597693
278	0.2058012051
279	0.2057736573
280	0.2057090436
281	0.2056678415
282	0.205556261
283	0.2054828829
284	0.2053999197
285	0.2052318213
286	0.2051819556
287	0.2050498925
288	0.2049727112
289	0.2049007401
290	0.2047443486
291	0.2045590168
292	0.204492331
293	0.2044453759
294	0.2043758052
295	0.2042743581
296	0.2042328921
297	0.204179313
298	0.2041346951
299	0.2039903724
300	0.2039665431
301	0.2038227878
302	0.2037884348
303	0.2037639109
304	0.2036980695
305	0.2036235068
306	0.2035139344
307	0.2034374084
308	0.2033609323
309	0.203280164
310	0.2032345301
311	0.2031498387
312	0.2030866348
313	0.2030330952
314	0.202924243
315	0.2028424925
316	0.2027521021
317	0.2027174475
318	0.2026285524
319	0.2024794802
320	0.2023967129
321	0.2022729328
322	0.2021956549
323	0.2020620317
324	0.2020031006
325	0.2019621418
326	0.2019226015
327	0.2017825045
328	0.201755417
329	0.2016646043
330	0.2016177581
331	0.2015058567
332	0.2014203061
333	0.2013697892
334	0.2013272675
335	0.2012368422
336	0.2011626997
337	0.2010619037
338	0.2009875875
339	0.2008712376
340	0.2006918122
341	0.200663243
342	0.2005897331
343	0.2004873794
344	0.2003856883
345	0.2002846303
346	0.2002151597
347	0.2000612311
348	0.1998888405
349	0.1996850717
350	0.1996011547
351	0.1995222714
352	0.1994232293
